smaple_num,image_size,filter_size,function,overhead_time,gpu_time
sample3,256,3,edge,0.302550,0.023
sample3,256,3,resize,0.292590,0.021
sample3,256,3,normalize,0.288888,0.022
sample3,256,5,edge,0.284862,0.026
sample3,256,5,resize,0.282571,0.025
sample3,256,5,normalize,0.285674,0.021
sample3,256,7,edge,0.280926,0.03
sample3,256,7,resize,0.294057,0.029
sample3,256,7,normalize,0.280044,0.02
sample3,512,3,edge,0.302437,0.031
sample3,512,3,resize,0.307795,0.033
sample3,512,3,normalize,0.306879,0.03
sample3,512,5,edge,0.309161,0.041
sample3,512,5,resize,0.289745,0.04
sample3,512,5,normalize,0.308746,0.029
sample3,512,7,edge,0.300483,0.052
sample3,512,7,resize,0.286365,0.053
sample3,512,7,normalize,0.316805,0.028
sample3,1024,3,edge,0.386753,0.068
sample3,1024,3,resize,0.380916,0.068
sample3,1024,3,normalize,0.400688,0.049
sample3,1024,5,edge,0.401122,0.115
sample3,1024,5,resize,0.375603,0.124
sample3,1024,5,normalize,0.441870,0.046
sample3,1024,7,edge,0.416581,0.18
sample3,1024,7,resize,0.353274,0.197
sample3,1024,7,normalize,0.432575,0.046
